omega	$N=6040$
8.198078834051010511e-02	3.445384662998092153e+03
8.214640609473335131e-02	2.962311594852772487e+03
8.231202384895661139e-02	2.560145898036873405e+03
8.247764160317985760e-02	2.223267338248522719e+03
8.264325935740311768e-02	1.939447340448772138e+03
8.280887711162636389e-02	1.699035642779419959e+03
8.297449486584962397e-02	1.494359390504281919e+03
8.314011262007287018e-02	1.319274892621265053e+03
8.330573037429613026e-02	1.168830225362808505e+03
8.347134812851937646e-02	1.039009106778999239e+03
8.363696588274263655e-02	9.265349055940986318e+02
8.380258363696588275e-02	8.287195302079927615e+02
8.396820139118914283e-02	7.433460871608973548e+02
8.413381914541238904e-02	6.685771455011534954e+02
8.429943689963564912e-02	6.028825592022694764e+02
8.446505465385889533e-02	5.449823319892580002e+02
8.463067240808215541e-02	4.938011278454271746e+02
8.479629016230540162e-02	4.484318540440230549e+02
8.496190791652864782e-02	4.081063543073855726e+02
8.512752567075190790e-02	3.721717058851537558e+02
8.529314342497515411e-02	3.400709574093075958e+02
8.545876117919841419e-02	3.113274040638583529e+02
8.562437893342166040e-02	2.855316943939500334e+02
8.578999668764492048e-02	2.623312146218505632e+02
8.595561444186816669e-02	2.414213131121286722e+02
